batch_id,num_rows,num_parts,num_z,num_y,num_x,interactions,build_seconds,sample_seconds,eval_seconds,total_seconds,stage_used,suggested_reads,energy,reconstructed_cost,c1_violations,c2_violations,c3_violations,c4_violations,penalty_c1,penalty_c2,penalty_c3,open_hubs_count,stocked_pairs_count,assignments_count
1,52125,283,596556,161726,796,6684422,26.660345554351807,4929.503653287888,0.0,4958.081889629364,0,328,-130726235897.1489,426174948.34349996,0,0,0,0,2516113.3975,1509668.0384999998,1006445.3589999999,796,93255,52125
2,52356,285,599575,163333,796,6692106,25.94549322128296,4955.718454837799,0.0,4983.225506544113,0,329,-131267601200.01012,427081587.82600003,0,0,0,0,2515369.4475,1509221.6685,1006147.779,796,93469,52356
3,51965,279,597350,160480,796,6687330,26.337950229644775,4943.6679973602295,0.0,4971.600235462189,0,328,-130342183352.41742,424498611.58300006,0,0,0,0,2516437.64,1509862.584,1006575.056,796,91699,51965
4,29717,153,338538,88704,796,3776127,14.288501501083374,2049.771138906479,0.0,2065.1260232925415,0,247,-74219157344.53392,411668695.275,0,0,0,0,2511384.9325,1506830.9594999999,1004553.973,796,47621,29717
