batch_id,read_index,num_vars,va_reported_energy,recomputed_energy,abs_diff,rel_diff,qubo_offset,va_offset_applied,constraint_ok
1,0,8659,-288815382.04649955,-288815382.0465,4.76837158203125e-07,1.6510102572249872e-15,299800000.0,0.0,True
1,1,8659,-288815376.4424994,-288815376.4425,5.960464477539062e-07,2.063762861575248e-15,299800000.0,0.0,True
1,2,8659,-288815330.80399966,-288815330.804,3.5762786865234375e-07,1.2382579126142104e-15,299800000.0,0.0,True
1,3,8659,-288815305.2364996,-288815305.2365,4.172325134277344e-07,1.4446343592701167e-15,299800000.0,0.0,True
1,4,8659,-288815271.44099957,-288815271.441,4.172325134277344e-07,1.444634528312911e-15,299800000.0,0.0,True
1,5,8659,-288815243.96249944,-288815243.9625,5.364418029785156e-07,1.857387427403824e-15,299800000.0,0.0,True
1,6,8659,-288815199.92349946,-288815199.9235,5.364418029785156e-07,1.8573877106212063e-15,299800000.0,0.0,True
1,7,8659,-288815180.4164996,-288815180.4165,3.5762786865234375e-07,1.2382585573812606e-15,299800000.0,0.0,True
1,8,8659,-288815153.3424993,-288815153.3425,6.556510925292969e-07,2.270140901338974e-15,299800000.0,0.0,True
1,9,8659,-288815087.5969996,-288815087.597,4.172325134277344e-07,1.4446354478887976e-15,299800000.0,0.0,True
1,10,8659,-288815054.42099947,-288815054.421,5.364418029785156e-07,1.8573886463569e-15,299800000.0,0.0,True
1,11,8659,-288815008.56099945,-288815008.561,5.364418029785156e-07,1.857388941285629e-15,299800000.0,0.0,True
1,12,8659,-288814983.9299994,-288814983.93,5.960464477539062e-07,2.0637656663214185e-15,299800000.0,0.0,True
1,13,8659,-288814965.1764996,-288814965.1765,4.172325134277344e-07,1.4446360602289293e-15,299800000.0,0.0,True
1,14,8659,-288814942.10799956,-288814942.108,4.172325134277344e-07,1.444636175616266e-15,299800000.0,0.0,True
1,15,8659,-288814910.33799946,-288814910.338,5.364418029785156e-07,1.8573895729646297e-15,299800000.0,0.0,True
1,16,8659,-288814890.78499943,-288814890.785,5.960464477539062e-07,2.06376633190155e-15,299800000.0,0.0,True
1,17,8659,-288814815.6444995,-288814815.6445,5.364418029785156e-07,1.857390181945575e-15,299800000.0,0.0,True
1,18,8659,-288814790.6154995,-288814790.6155,4.76837158203125e-07,1.6510136381413367e-15,299800000.0,0.0,True
1,19,8659,-288814773.22349954,-288814773.2235,4.76837158203125e-07,1.6510137375629445e-15,299800000.0,0.0,True
1,20,8659,-288814757.81099933,-288814757.811,6.556510925292969e-07,2.270144010294495e-15,299800000.0,0.0,True
1,21,8659,-288814711.4369994,-288814711.437,5.960464477539062e-07,2.0637676134580274e-15,299800000.0,0.0,True
1,22,8659,-288814687.8254994,-288814687.8255,5.960464477539062e-07,2.0637677821774553e-15,299800000.0,0.0,True
1,23,8659,-288814664.00949943,-288814664.0095,5.960464477539062e-07,2.063767952358196e-15,299800000.0,0.0,True
1,24,8659,-288814651.5899994,-288814651.59,5.960464477539062e-07,2.0637680411035765e-15,299800000.0,0.0,True
1,25,8659,-288814646.10499936,-288814646.105,6.556510925292969e-07,2.2701448883272064e-15,299800000.0,0.0,True
1,26,8659,-288814645.5089993,-288814645.509,7.152557373046875e-07,2.4765217014675207e-15,299800000.0,0.0,True
1,27,8659,-288814642.9189996,-288814642.919,4.172325134277344e-07,1.4446376721444487e-15,299800000.0,0.0,True
1,28,8659,-288814634.8964993,-288814634.8965,7.152557373046875e-07,2.476521792467364e-15,299800000.0,0.0,True
1,29,8659,-288814598.87599945,-288814598.876,5.364418029785156e-07,1.857391576001434e-15,299800000.0,0.0,True
1,30,8659,-288814592.4649994,-288814592.465,5.960464477539062e-07,2.063768463590143e-15,299800000.0,0.0,True
1,31,8659,-288814575.0994994,-288814575.0995,5.960464477539062e-07,2.0637685876779633e-15,299800000.0,0.0,True
1,32,8659,-288814571.33749926,-288814571.3375,7.152557373046875e-07,2.4765223374718904e-15,299800000.0,0.0,True
1,33,8659,-288814515.5634994,-288814515.5635,5.960464477539062e-07,2.063769013101618e-15,299800000.0,0.0,True
1,34,8659,-288814511.5769994,-288814511.577,5.960464477539062e-07,2.0637690415877737e-15,299800000.0,0.0,True
1,35,8659,-288814504.8669995,-288814504.867,4.76837158203125e-07,1.6510152716280993e-15,299800000.0,0.0,True
1,36,8659,-288814492.2304994,-288814492.2305,5.960464477539062e-07,2.0637691798312096e-15,299800000.0,0.0,True
1,37,8659,-288814457.9369993,-288814457.937,6.556510925292969e-07,2.2701463673688944e-15,299800000.0,0.0,True
1,38,8659,-288814404.4059994,-288814404.406,5.960464477539062e-07,2.0637698073951174e-15,299800000.0,0.0,True
1,39,8659,-288814380.0354994,-288814380.0355,5.960464477539062e-07,2.063769981538462e-15,299800000.0,0.0,True
1,40,8659,-288814379.9154993,-288814379.9155,6.556510925292969e-07,2.270146980635536e-15,299800000.0,0.0,True
1,41,8659,-288814367.6234996,-288814367.6235,4.172325134277344e-07,1.4446390491612972e-15,299800000.0,0.0,True
1,42,8659,-288814366.20899945,-288814366.209,5.364418029785156e-07,1.8573930723041683e-15,299800000.0,0.0,True
1,43,8659,-288814364.7454995,-288814364.7455,5.364418029785156e-07,1.8573930817160776e-15,299800000.0,0.0,True
1,44,8659,-288814361.5364995,-288814361.5365,4.76837158203125e-07,1.6510160909808599e-15,299800000.0,0.0,True
1,45,8659,-288814358.8114996,-288814358.8115,4.172325134277344e-07,1.4446390932386047e-15,299800000.0,0.0,True
1,46,8659,-288814330.72149944,-288814330.7215,5.364418029785156e-07,1.8573933005277347e-15,299800000.0,0.0,True
