t_seconds,phase,depth,rss_mb,batch_id
70.1745,solve.va_sample,2,699.965,
70.6748,solve.va_sample,2,699.965,
71.1750,solve.va_sample,2,699.965,
71.6753,solve.va_sample,2,699.965,
72.1755,solve.va_sample,2,699.965,
72.6758,solve.va_sample,2,699.965,
73.1760,solve.va_sample,2,699.965,
73.6762,solve.va_sample,2,699.965,
74.1765,solve.va_sample,2,699.965,
74.6767,solve.va_sample,2,699.965,
75.1770,solve.va_sample,2,699.965,
75.6772,solve.va_sample,2,699.965,
76.1775,solve.va_sample,2,699.965,
76.6777,solve.va_sample,2,699.965,
77.1780,solve.va_sample,2,699.965,
77.6782,solve.va_sample,2,699.965,
78.1785,solve.va_sample,2,699.965,
78.6787,solve.va_sample,2,699.965,
79.1789,solve.va_sample,2,699.965,
79.6792,solve.va_sample,2,699.965,
80.1794,solve.va_sample,2,699.965,
80.6797,solve.va_sample,2,699.965,
81.1799,solve.va_sample,2,699.965,
81.6801,solve.va_sample,2,699.965,
82.1804,solve.va_sample,2,699.965,
82.6807,solve.va_sample,2,699.965,
83.1809,solve.va_sample,2,699.965,
83.6812,solve.va_sample,2,699.965,
84.1814,solve.va_sample,2,699.965,
84.6816,solve.va_sample,2,699.965,
85.1819,solve.va_sample,2,699.965,
85.6821,solve.va_sample,2,699.965,
86.1824,solve.va_sample,2,699.965,
86.6826,solve.va_sample,2,699.965,
87.1828,solve.va_sample,2,699.965,
87.6831,solve.va_sample,2,699.965,
88.1833,solve.va_sample,2,699.965,
88.6835,solve.va_sample,2,699.965,
89.1838,solve.va_sample,2,699.965,
89.6840,solve.va_sample,2,699.965,
90.1842,solve.va_sample,2,699.965,
90.6845,solve.va_sample,2,699.965,
91.1847,solve.va_sample,2,699.965,
91.6849,solve.va_sample,2,699.965,
92.1852,solve.va_sample,2,699.965,
92.6854,solve.va_sample,2,699.965,
93.1857,solve.va_sample,2,699.965,
93.6859,solve.va_sample,2,699.965,
94.1862,solve.va_sample,2,699.965,
94.6864,solve.va_sample,2,699.965,
95.1867,solve.va_sample,2,699.965,
95.6869,solve.va_sample,2,699.965,
96.1871,solve.va_sample,2,699.965,
96.6874,solve.va_sample,2,699.965,
97.1876,solve.va_sample,2,699.965,
97.6879,solve.va_sample,2,699.965,
98.1881,solve.va_sample,2,699.965,
98.6883,solve.va_sample,2,699.965,
99.1886,solve.va_sample,2,699.965,
99.6888,solve.va_sample,2,699.965,
100.1891,solve.va_sample,2,699.965,
100.6894,solve.va_sample,2,699.965,
101.1897,solve.va_sample,2,699.965,
101.6899,solve.va_sample,2,699.965,
102.1902,solve.va_sample,2,699.965,
102.6904,solve.va_sample,2,699.965,
103.1907,solve.va_sample,2,699.965,
103.6909,solve.va_sample,2,699.965,
104.1911,solve.va_sample,2,699.965,
104.6914,solve.va_sample,2,699.965,
105.1917,solve.va_sample,2,699.965,
105.6919,solve.va_sample,2,699.965,
106.1922,solve.va_sample,2,699.965,
