zip_id,hub_id,part_id
Z00019,H023,P0040
Z00019,H023,P0047
Z00019,H023,P0053
Z00019,H023,P0055
Z00019,H023,P0059
Z00019,H023,P0067
Z00019,H023,P0071
Z00019,H023,P0091
Z00019,H023,P0101
Z00019,H023,P0104
Z00019,H023,P0107
Z00019,H023,P0132
Z00019,H023,P0144
Z00020,H037,P0001
Z00020,H037,P0008
Z00020,H037,P0025
Z00020,H037,P0046
Z00020,H037,P0075
Z00020,H037,P0077
Z00020,H037,P0080
Z00020,H037,P0093
Z00020,H037,P0104
Z00020,H037,P0109
Z00020,H037,P0135
Z00021,H011,P0008
Z00021,H011,P0009
Z00021,H011,P0016
Z00021,H011,P0025
Z00021,H011,P0028
Z00021,H011,P0034
Z00021,H011,P0040
Z00021,H011,P0044
Z00021,H011,P0049
Z00021,H011,P0054
Z00021,H011,P0057
Z00021,H011,P0060
Z00021,H011,P0063
Z00021,H011,P0075
Z00021,H011,P0083
Z00021,H011,P0084
Z00021,H011,P0088
Z00021,H011,P0091
Z00021,H011,P0103
Z00021,H011,P0107
Z00021,H011,P0118
Z00021,H011,P0128
Z00021,H011,P0132
Z00021,H011,P0150
Z00022,H032,P0008
Z00022,H032,P0017
Z00022,H032,P0025
Z00022,H032,P0057
Z00022,H032,P0067
Z00022,H032,P0088
Z00022,H032,P0133
Z00022,H032,P0147
Z00023,H044,P0007
Z00023,H044,P0011
Z00023,H044,P0028
Z00023,H044,P0039
Z00023,H044,P0046
Z00023,H044,P0062
Z00023,H044,P0065
Z00023,H044,P0083
Z00023,H044,P0118
Z00023,H044,P0123
Z00024,H015,P0001
Z00024,H015,P0007
Z00024,H015,P0034
Z00024,H015,P0040
Z00024,H015,P0042
Z00024,H015,P0058
Z00024,H015,P0059
Z00024,H015,P0104
Z00024,H015,P0105
Z00025,H007,P0001
Z00025,H007,P0006
Z00025,H007,P0009
Z00025,H007,P0011
Z00025,H007,P0042
Z00025,H007,P0049
Z00025,H007,P0063
Z00025,H007,P0070
Z00025,H007,P0071
Z00025,H007,P0084
Z00025,H007,P0087
Z00025,H007,P0089
Z00025,H007,P0093
Z00025,H007,P0105
Z00025,H007,P0107
Z00025,H007,P0108
Z00025,H007,P0133
Z00025,H007,P0150
Z00026,H028,P0028
Z00026,H028,P0107
Z00026,H028,P0111
Z00026,H028,P0114
Z00026,H028,P0128
Z00026,H028,P0129
Z00027,H005,P0007
Z00027,H005,P0022
Z00027,H005,P0040
Z00027,H005,P0048
Z00027,H005,P0059
Z00027,H005,P0069
Z00027,H005,P0073
Z00027,H005,P0075
Z00027,H005,P0078
Z00027,H005,P0092
Z00027,H005,P0114
Z00027,H005,P0124
Z00027,H005,P0132
Z00027,H005,P0134
Z00027,H005,P0135
Z00027,H005,P0142
Z00027,H005,P0147
Z00028,H003,P0003
Z00028,H003,P0007
Z00028,H003,P0026
Z00028,H003,P0028
Z00028,H003,P0039
Z00028,H003,P0040
Z00028,H003,P0065
Z00028,H003,P0071
Z00028,H003,P0090
Z00028,H003,P0100
Z00028,H003,P0105
Z00028,H003,P0116
Z00028,H003,P0127
Z00028,H003,P0135
Z00029,H048,P0018
Z00029,H048,P0020
Z00029,H048,P0032
Z00029,H048,P0040
Z00029,H048,P0042
Z00029,H048,P0064
Z00029,H048,P0065
Z00029,H048,P0128
Z00030,H048,P0005
Z00030,H048,P0008
Z00030,H048,P0009
Z00030,H048,P0010
Z00030,H048,P0012
Z00030,H048,P0018
Z00030,H048,P0039
Z00030,H048,P0045
Z00030,H048,P0063
Z00030,H048,P0071
Z00030,H048,P0078
Z00030,H048,P0080
Z00030,H048,P0081
Z00030,H048,P0083
Z00030,H048,P0093
Z00030,H048,P0096
Z00030,H048,P0098
Z00030,H048,P0107
Z00030,H048,P0109
Z00030,H048,P0114
Z00030,H048,P0118
Z00030,H048,P0124
Z00030,H048,P0125
Z00030,H048,P0141
Z00030,H048,P0144
Z00030,H048,P0148
Z00031,H021,P0002
Z00031,H021,P0010
Z00031,H021,P0012
Z00031,H021,P0024
Z00031,H021,P0041
Z00031,H021,P0044
Z00031,H021,P0078
Z00031,H021,P0084
Z00031,H021,P0090
Z00031,H021,P0101
Z00031,H021,P0135
Z00032,H005,P0007
Z00032,H005,P0009
Z00032,H005,P0030
Z00032,H005,P0036
Z00032,H005,P0044
Z00032,H005,P0045
Z00032,H005,P0047
Z00032,H005,P0054
Z00032,H005,P0063
Z00032,H005,P0069
Z00032,H005,P0074
Z00032,H005,P0081
Z00032,H005,P0086
Z00032,H005,P0089
Z00032,H005,P0105
Z00032,H005,P0113
Z00032,H005,P0122
Z00032,H005,P0128
Z00032,H005,P0133
Z00032,H005,P0134
Z00032,H005,P0135
Z00033,H002,P0003
Z00033,H002,P0040
Z00033,H002,P0086
Z00033,H029,P0013
Z00033,H029,P0047
Z00033,H029,P0065
Z00033,H029,P0118
Z00033,H029,P0128
Z00033,H038,P0007
Z00033,H038,P0008
Z00033,H038,P0044
Z00034,H040,P0016
Z00034,H040,P0027
Z00034,H040,P0039
Z00034,H040,P0065
Z00034,H040,P0115
Z00034,H040,P0141
Z00034,H040,P0145
Z00034,H040,P0150
Z00034,H043,P0012
Z00034,H043,P0020
Z00034,H043,P0041
Z00034,H043,P0049
Z00034,H043,P0058
Z00034,H043,P0071
Z00034,H043,P0077
Z00034,H043,P0079
Z00035,H031,P0001
Z00035,H031,P0006
Z00035,H031,P0010
Z00035,H031,P0011
Z00035,H031,P0024
Z00035,H031,P0031
Z00035,H031,P0033
Z00035,H031,P0042
Z00035,H031,P0049
Z00035,H031,P0069
Z00035,H031,P0071
Z00035,H031,P0073
Z00035,H031,P0078
Z00035,H031,P0086
Z00035,H031,P0090
Z00035,H031,P0111
Z00035,H031,P0113
Z00035,H031,P0114
Z00035,H031,P0128
Z00035,H031,P0149
Z00035,H031,P0150
Z00036,H047,P0010
Z00036,H047,P0012
Z00036,H047,P0028
Z00036,H047,P0044
Z00036,H047,P0045
Z00036,H047,P0060
Z00036,H047,P0062
Z00036,H047,P0064
Z00036,H047,P0065
Z00036,H047,P0084
Z00036,H047,P0091
Z00036,H047,P0093
Z00036,H047,P0102
Z00036,H047,P0111
Z00036,H047,P0118
Z00036,H047,P0128
Z00036,H047,P0135
Z00036,H047,P0144
Z00036,H047,P0147
Z00037,H017,P0005
Z00037,H017,P0006
Z00037,H017,P0007
Z00037,H017,P0008
Z00037,H017,P0030
Z00037,H017,P0035
Z00037,H017,P0036
Z00037,H017,P0039
Z00037,H017,P0042
Z00037,H017,P0046
Z00037,H017,P0049
Z00037,H017,P0050
Z00037,H017,P0068
Z00037,H017,P0074
Z00037,H017,P0076
Z00037,H017,P0077
Z00037,H017,P0107
Z00037,H017,P0115
Z00037,H017,P0116
Z00037,H017,P0145
Z00037,H017,P0149
Z00038,H040,P0039
Z00038,H040,P0055
Z00038,H040,P0078
Z00038,H040,P0097
Z00038,H040,P0117
Z00038,H040,P0128
Z00038,H043,P0001
Z00038,H043,P0033
Z00038,H043,P0048
Z00038,H043,P0049
Z00038,H043,P0075
Z00038,H043,P0094
Z00038,H043,P0103
Z00038,H043,P0132
Z00039,H008,P0044
Z00039,H008,P0045
Z00039,H008,P0048
Z00039,H008,P0052
Z00039,H008,P0060
Z00039,H008,P0062
Z00039,H008,P0079
Z00039,H008,P0084
Z00039,H008,P0125
Z00039,H008,P0128
Z00039,H041,P0004
Z00039,H041,P0025
Z00039,H041,P0033
Z00039,H041,P0039
Z00039,H041,P0081
Z00039,H041,P0090
Z00039,H041,P0092
Z00039,H041,P0124
Z00039,H041,P0139
Z00039,H041,P0142
Z00039,H041,P0145
Z00040,H030,P0004
Z00040,H030,P0005
Z00040,H030,P0016
Z00040,H030,P0042
Z00040,H030,P0045
Z00040,H030,P0052
Z00040,H030,P0056
Z00040,H030,P0057
Z00040,H030,P0058
Z00040,H030,P0062
Z00040,H030,P0098
Z00040,H030,P0110
Z00040,H030,P0121
Z00040,H030,P0124
Z00040,H030,P0130
Z00040,H030,P0131
Z00040,H030,P0136
Z00041,H031,P0012
Z00041,H031,P0029
Z00041,H031,P0040
Z00041,H031,P0045
Z00041,H031,P0057
Z00041,H031,P0074
Z00041,H031,P0077
Z00041,H031,P0082
Z00041,H031,P0084
Z00041,H031,P0089
Z00041,H031,P0091
Z00041,H031,P0092
Z00041,H031,P0107
Z00041,H031,P0109
Z00041,H031,P0110
Z00041,H031,P0122
Z00041,H031,P0124
Z00041,H031,P0141
Z00042,H001,P0009
Z00042,H001,P0040
Z00042,H001,P0046
Z00042,H001,P0071
Z00042,H001,P0075
Z00042,H001,P0100
Z00042,H001,P0114
Z00042,H001,P0133
Z00042,H001,P0139
Z00042,H001,P0142
Z00042,H001,P0144
Z00042,H001,P0149
Z00042,H034,P0002
Z00042,H034,P0010
Z00042,H034,P0041
Z00042,H034,P0082
Z00042,H034,P0123
Z00042,H034,P0128
Z00042,H034,P0141
Z00043,H042,P0007
Z00043,H042,P0015
Z00043,H042,P0025
Z00043,H042,P0034
Z00043,H042,P0039
Z00043,H042,P0040
Z00043,H042,P0045
Z00043,H042,P0065
Z00043,H042,P0071
Z00043,H042,P0079
Z00043,H042,P0083
Z00043,H042,P0107
Z00043,H042,P0128
Z00043,H042,P0135
Z00044,H040,P0010
Z00044,H040,P0011
Z00044,H040,P0020
Z00044,H040,P0033
Z00044,H040,P0067
Z00044,H040,P0081
Z00044,H040,P0089
Z00044,H040,P0107
Z00044,H040,P0119
Z00044,H040,P0135
Z00045,H009,P0003
Z00045,H009,P0011
Z00045,H009,P0023
Z00045,H009,P0028
Z00045,H009,P0034
Z00045,H009,P0038
Z00045,H009,P0044
Z00045,H009,P0057
Z00045,H009,P0066
Z00045,H009,P0068
Z00045,H009,P0071
