instance,method,total_cost,gurobi_optimum,gap_pct,open_hubs,violations,seconds
instances_10hubs,gurobi (proven opt),5498943.178499999,5498943.178499999,0.0,10,0,4.009283887222409
instances_10hubs,VA seed 42,5498943.178499999,5498943.178499999,0.0,10,0,621.1171536408365
instances_10hubs,greedy nearest,5498943.1785,5498943.178499999,1.693639203723368e-14,10,0,0.003
instances_10hubs,greedy marginal,5498943.1785,5498943.178499999,1.693639203723368e-14,10,0,0.01
instances_10hubs,greedy 1opt,5498943.1785,5498943.178499999,1.693639203723368e-14,10,0,0.016
instances_10hubs,greedy close,5498943.1785,5498943.178499999,1.693639203723368e-14,10,0,0.031
instances_20hubs,gurobi (proven opt),10974909.435,10974909.435,0.0,20,0,5.5668792854994535
instances_20hubs,VA seed 42,10984330.0725,10974909.435,0.08583795206506188,20,0,1604.9780996991321
instances_20hubs,VA seed 1000,10983883.5735,10974909.435,0.0817695904749798,20,0,1608.9634193535894
instances_20hubs,VA seed 2026,10983341.6895,10974909.435,0.07683211009567484,20,0,1606.2818572111428
instances_20hubs,greedy nearest,10979301.7085,10974909.435,0.04002104551306664,20,0,0.005
instances_20hubs,greedy marginal,10977277.056,10974909.435,0.02157303451132619,20,0,0.018
instances_20hubs,greedy 1opt,10974971.869,10974909.435,0.0005688794096218218,20,0,0.05
instances_20hubs,greedy close,10974971.869,10974909.435,0.0005688794096218218,20,0,0.108
instances_50hubs,gurobi (proven opt),27651284.444499996,27651284.444499996,0.0,50,0,12.11196550540626
instances_50hubs,VA seed 42,27779427.954500005,27651284.444499996,0.4634269712034936,50,0,9827.126680970192
instances_50hubs,greedy nearest,27685389.704,27651284.444499996,0.12334059767985964,50,0,0.013
instances_50hubs,greedy marginal,27676299.972,27651284.444499996,0.0904678679582254,50,0,0.052
instances_50hubs,greedy 1opt,27655570.0335,27651284.444499996,0.015498697749853367,50,0,0.154
instances_50hubs,greedy close,27655570.0335,27651284.444499996,0.015498697749853367,50,0,0.334
instances_100hubs,gurobi (proven opt),53482363.04699998,53482363.04699998,0.0,97,0,22.315582858398557
instances_100hubs,greedy nearest,55056225.7825,53482363.04699998,2.9427696269084334,100,0,0.023
instances_100hubs,greedy marginal,54021891.1765,53482363.04699998,1.0087963559610902,98,0,0.103
instances_100hubs,greedy 1opt,53977165.1025,53482363.04699998,0.9251686487098307,98,0,0.303
instances_100hubs,greedy close,53490079.483,53482363.04699998,0.01442800123330032,97,0,1.482
