batch_id,read_index,num_vars,va_reported_energy,recomputed_energy,abs_diff,rel_diff,qubo_offset,va_offset_applied,constraint_ok
1,0,8659,-288815388.5844993,-288815388.5845,7.152557373046875e-07,2.4765153297758644e-15,299800000.0,0.0,True
1,1,8659,-288815314.2259994,-288815314.226,5.960464477539062e-07,2.0637633061503647e-15,299800000.0,0.0,True
1,2,8659,-288815310.51799935,-288815310.518,6.556510925292969e-07,2.2701396659109398e-15,299800000.0,0.0,True
1,3,8659,-288815154.4604994,-288815154.4605,5.960464477539062e-07,2.063764447773896e-15,299800000.0,0.0,True
1,4,8659,-288815147.3829994,-288815147.383,5.960464477539062e-07,2.06376449834705e-15,299800000.0,0.0,True
1,5,8659,-288815105.3794996,-288815105.3795,3.5762786865234375e-07,1.2382588790929911e-15,299800000.0,0.0,True
1,6,8659,-288815035.83099955,-288815035.83100003,4.76837158203125e-07,1.65101223636482e-15,299800000.0,0.0,True
1,7,8659,-288814911.92999965,-288814911.93,3.5762786865234375e-07,1.2382597084842416e-15,299800000.0,0.0,True
1,8,8659,-288814877.6944995,-288814877.6945,5.364418029785156e-07,1.8573897828973623e-15,299800000.0,0.0,True
1,9,8659,-288814860.00899935,-288814860.009,6.556510925292969e-07,2.2701432069972633e-15,299800000.0,0.0,True
1,10,8659,-288814855.3069993,-288814855.307,6.556510925292969e-07,2.2701432439559348e-15,299800000.0,0.0,True
1,11,8659,-288814845.5169995,-288814845.517,5.364418029785156e-07,1.8573899898332612e-15,299800000.0,0.0,True
1,12,8659,-288814837.41399926,-288814837.414,7.152557373046875e-07,2.476520055925687e-15,299800000.0,0.0,True
1,13,8659,-288814835.00799954,-288814835.008,4.76837158203125e-07,1.6510133843710516e-15,299800000.0,0.0,True
1,14,8659,-288814803.3394995,-288814803.3395,5.364418029785156e-07,1.8573902610799754e-15,299800000.0,0.0,True
1,15,8659,-288814785.9519995,-288814785.952,5.364418029785156e-07,1.8573903729003346e-15,299800000.0,0.0,True
1,16,8659,-288814770.2959993,-288814770.296,7.152557373046875e-07,2.4765206314470598e-15,299800000.0,0.0,True
1,17,8659,-288814768.34799945,-288814768.348,5.364418029785156e-07,1.857390486113036e-15,299800000.0,0.0,True
1,18,8659,-288814752.9624995,-288814752.9625,4.76837158203125e-07,1.651013853385246e-15,299800000.0,0.0,True
1,19,8659,-288814714.4284995,-288814714.4285,4.76837158203125e-07,1.6510140736654625e-15,299800000.0,0.0,True
1,20,8659,-288814711.63699955,-288814711.637,4.76837158203125e-07,1.6510140896231182e-15,299800000.0,0.0,True
1,21,8659,-288814688.3049995,-288814688.305,5.364418029785156e-07,1.8573910008760058e-15,299800000.0,0.0,True
1,22,8659,-288814686.3814994,-288814686.3815,5.960464477539062e-07,2.0637677924957693e-15,299800000.0,0.0,True
1,23,8659,-288814677.2864995,-288814677.2865,4.76837158203125e-07,1.6510142859883449e-15,299800000.0,0.0,True
1,24,8659,-288814669.33299935,-288814669.333,6.556510925292969e-07,2.2701447057501734e-15,299800000.0,0.0,True
1,25,8659,-288814661.2849994,-288814661.285,6.556510925292969e-07,2.270144769009166e-15,299800000.0,0.0,True
1,26,8659,-288814615.9289994,-288814615.929,5.960464477539062e-07,2.0637682959245863e-15,299800000.0,0.0,True
1,27,8659,-288814576.6124997,-288814576.6125,2.980232238769531e-07,1.0318842884332956e-15,299800000.0,0.0,True
1,28,8659,-288814564.61749935,-288814564.6175,6.556510925292969e-07,2.270145528836565e-15,299800000.0,0.0,True
1,29,8659,-288814563.1294994,-288814563.1295,5.960464477539062e-07,2.0637686732114277e-15,299800000.0,0.0,True
1,30,8659,-288814534.57999957,-288814534.58,4.172325134277344e-07,1.4446382140513893e-15,299800000.0,0.0,True
1,31,8659,-288814476.45349944,-288814476.4535,5.364418029785156e-07,1.857392363311416e-15,299800000.0,0.0,True
1,32,8659,-288814469.1839995,-288814469.184,5.364418029785156e-07,1.8573924100622375e-15,299800000.0,0.0,True
1,33,8659,-288814452.79499936,-288814452.795,6.556510925292969e-07,2.2701464077861675e-15,299800000.0,0.0,True
1,34,8659,-288814440.65149957,-288814440.6515,4.172325134277344e-07,1.4446386838779678e-15,299800000.0,0.0,True
1,35,8659,-288814434.51349956,-288814434.5135,4.172325134277344e-07,1.4446387145800075e-15,299800000.0,0.0,True
1,36,8659,-288814414.35399944,-288814414.354,5.364418029785156e-07,1.857392762679077e-15,299800000.0,0.0,True
1,37,8659,-288814393.1874994,-288814393.1875,5.960464477539062e-07,2.063769887558718e-15,299800000.0,0.0,True
1,38,8659,-288814391.4009994,-288814391.401,5.960464477539062e-07,2.0637699003244423e-15,299800000.0,0.0,True
1,39,8659,-288814369.6449995,-288814369.645,4.76837158203125e-07,1.651016044628374e-15,299800000.0,0.0,True
1,40,8659,-288814351.4264993,-288814351.4265,7.152557373046875e-07,2.4765242231624766e-15,299800000.0,0.0,True
1,41,8659,-288814350.1559997,-288814350.156,2.980232238769531e-07,1.031885097523648e-15,299800000.0,0.0,True
1,42,8659,-288814342.91549957,-288814342.9155,4.172325134277344e-07,1.4446391727498325e-15,299800000.0,0.0,True
1,43,8659,-288814334.46999925,-288814334.47,7.748603820800781e-07,2.682901399274436e-15,299800000.0,0.0,True
1,44,8659,-288814308.1194993,-288814308.1195,6.556510925292969e-07,2.2701475449686318e-15,299800000.0,0.0,True
1,45,8659,-288814301.1459995,-288814301.146,5.364418029785156e-07,1.8573934907306968e-15,299800000.0,0.0,True
1,46,8659,-288814295.0384994,-288814295.0385,5.960464477539062e-07,2.063770588898486e-15,299800000.0,0.0,True
1,47,8659,-288814272.77949935,-288814272.7795,6.556510925292969e-07,2.270147822749274e-15,299800000.0,0.0,True
1,48,8659,-288814267.0484994,-288814267.0485,5.960464477539062e-07,2.0637707889057066e-15,299800000.0,0.0,True
1,49,8659,-288814261.29499936,-288814261.295,6.556510925292969e-07,2.270147913020137e-15,299800000.0,0.0,True
1,50,8659,-288814249.13499945,-288814249.135,5.364418029785156e-07,1.85739382521867e-15,299800000.0,0.0,True
1,51,8659,-288814233.31349975,-288814233.3135,2.384185791015625e-07,8.255084119859343e-16,299800000.0,0.0,True
1,52,8659,-288814232.25799954,-288814232.258,4.76837158203125e-07,1.6510168300056716e-15,299800000.0,0.0,True
1,53,8659,-288814207.48999965,-288814207.49,3.5762786865234375e-07,1.2382627286946275e-15,299800000.0,0.0,True
1,54,8659,-288814188.0814995,-288814188.0815,4.76837158203125e-07,1.6510170825422438e-15,299800000.0,0.0,True
1,55,8659,-288814172.2229994,-288814172.223,5.960464477539062e-07,2.0637714664974447e-15,299800000.0,0.0,True
1,56,8659,-288814163.55149925,-288814163.5515,7.748603820800781e-07,2.6829029869994884e-15,299800000.0,0.0,True
1,57,8659,-288814155.94349945,-288814155.9435,5.364418029785156e-07,1.857394424542883e-15,299800000.0,0.0,True
1,58,8659,-288814155.5524994,-288814155.5525,5.960464477539062e-07,2.0637715856193837e-15,299800000.0,0.0,True
1,59,8659,-288814144.69749945,-288814144.6975,5.364418029785156e-07,1.8573944968671028e-15,299800000.0,0.0,True
1,60,8659,-288814141.19049954,-288814141.1905,4.76837158203125e-07,1.6510173505964382e-15,299800000.0,0.0,True
1,61,8659,-288814114.1809994,-288814114.181,5.960464477539062e-07,2.063771881246647e-15,299800000.0,0.0,True
1,62,8659,-288814098.40349936,-288814098.4035,6.556510925292969e-07,2.2701491933862996e-15,299800000.0,0.0,True
1,63,8659,-288814072.69599926,-288814072.696,7.152557373046875e-07,2.476526613222035e-15,299800000.0,0.0,True
1,64,8659,-288814070.56049955,-288814070.5605,4.76837158203125e-07,1.6510177543556984e-15,299800000.0,0.0,True
1,65,8659,-288814064.51749945,-288814064.5175,5.364418029785156e-07,1.8573950125133577e-15,299800000.0,0.0,True
1,66,8659,-288814056.17699933,-288814056.177,6.556510925292969e-07,2.270149525296928e-15,299800000.0,0.0,True
1,67,8659,-288814050.5414994,-288814050.5415,5.960464477539062e-07,2.0637723359939505e-15,299800000.0,0.0,True
1,68,8659,-288814049.4724995,-288814049.4725,5.364418029785156e-07,1.857395109269412e-15,299800000.0,0.0,True
1,69,8659,-288814041.4159994,-288814041.416,5.960464477539062e-07,2.063772401201841e-15,299800000.0,0.0,True
1,70,8659,-288814038.7544995,-288814038.7545,4.76837158203125e-07,1.6510179361760525e-15,299800000.0,0.0,True
1,71,8659,-288814030.5504994,-288814030.5505,5.960464477539062e-07,2.0637724788432183e-15,299800000.0,0.0,True
