t_seconds,phase,depth,rss_mb,batch_id
68.1297,solve.va_sample,2,326.270,
68.6300,solve.va_sample,2,326.270,
69.1303,solve.va_sample,2,326.270,
69.6305,solve.va_sample,2,326.270,
70.1308,solve.va_sample,2,326.270,
70.6310,solve.va_sample,2,326.270,
71.1313,solve.va_sample,2,326.270,
71.6315,solve.va_sample,2,326.270,
72.1318,solve.va_sample,2,326.270,
72.6320,solve.va_sample,2,326.270,
73.1323,solve.va_sample,2,326.270,
73.6325,solve.va_sample,2,326.270,
74.1328,solve.va_sample,2,326.270,
74.6331,solve.va_sample,2,326.270,
75.1333,solve.va_sample,2,326.270,
75.6336,solve.va_sample,2,326.270,
76.1338,solve.va_sample,2,326.270,
76.6341,solve.va_sample,2,326.270,
77.1344,solve.va_sample,2,326.270,
77.6346,solve.va_sample,2,326.270,
78.1349,solve.va_sample,2,326.270,
78.6351,solve.va_sample,2,326.270,
79.1354,solve.va_sample,2,326.270,
79.6356,solve.va_sample,2,326.270,
80.1359,solve.va_sample,2,326.270,
80.6361,solve.va_sample,2,326.270,
81.1364,solve.va_sample,2,326.270,
81.6366,solve.va_sample,2,326.270,
82.1369,solve.va_sample,2,326.270,
82.6371,solve.va_sample,2,326.270,
83.1374,solve.va_sample,2,326.270,
83.6376,solve.va_sample,2,326.270,
84.1379,solve.va_sample,2,326.270,
84.6381,solve.va_sample,2,326.270,
85.1384,solve.va_sample,2,326.270,
85.6386,solve.va_sample,2,326.270,
86.1389,solve.va_sample,2,326.270,
86.6392,solve.va_sample,2,326.270,
87.1394,solve.va_sample,2,326.270,
87.6397,solve.va_sample,2,326.270,
88.1400,solve.va_sample,2,326.270,
88.6402,solve.va_sample,2,326.270,
89.1405,solve.va_sample,2,326.270,
89.6408,solve.va_sample,2,326.270,
90.1410,solve.va_sample,2,326.270,
90.6413,solve.va_sample,2,326.270,
91.1415,solve.va_sample,2,326.270,
91.6418,solve.va_sample,2,326.270,
92.1420,solve.va_sample,2,326.270,
92.6422,solve.va_sample,2,326.270,
93.1425,solve.va_sample,2,326.270,
93.6427,solve.va_sample,2,326.270,
94.1430,solve.va_sample,2,326.270,
94.6432,solve.va_sample,2,326.270,
95.1435,solve.va_sample,2,326.270,
95.6437,solve.va_sample,2,326.270,
96.1440,solve.va_sample,2,326.270,
96.6443,solve.va_sample,2,326.270,
97.1445,solve.va_sample,2,326.270,
97.6448,solve.va_sample,2,326.270,
98.1451,solve.va_sample,2,326.270,
98.6453,solve.va_sample,2,326.270,
99.1456,solve.va_sample,2,326.270,
99.6459,solve.va_sample,2,326.270,
100.1461,solve.va_sample,2,326.270,
100.6464,solve.va_sample,2,326.270,
101.1466,solve.va_sample,2,326.270,
101.6469,solve.va_sample,2,326.270,
102.1472,solve.va_sample,2,326.270,
