scale,batch_id,n_parts_in_batch,estimated_z_vars,n_hubs,n_zips,num_reads,num_sweeps,build_seconds,sample_seconds,eval_seconds,total_seconds,python_peak_tracemalloc_mb,rss_peak_mb,slurm_max_rss,postprocess_seconds,hub_prune_seconds,cost_seconds,total_pipeline_seconds,merge_rss_peak_mb,max_single_batch_rss_mb,sum_of_batch_peaks_rss_mb
low,1,71.0,49879.0,200.0,1988.0,10.0,150.0,1.291161298751831,201.8632321357727,40.465898275375366,245.12746691703796,442.88173389434814,1155.19921875,,,,,,,,
low,2,56.0,49711.0,200.0,1988.0,10.0,150.0,1.2774879932403564,195.56789469718933,39.044891119003296,237.41565251350403,426.4740295410156,1114.26171875,,,,,,,,
low,3,50.0,49070.0,200.0,1989.0,10.0,150.0,1.2368934154510498,190.6724181175232,38.2927348613739,231.6851544380188,420.79192543029785,1100.5078125,,,,,,,,
low,4,60.0,49596.0,200.0,1985.0,10.0,150.0,1.3013701438903809,168.52625727653503,13.065880298614502,184.39461541175842,310.2196445465088,866.1328125,,,,,,,,
low,5,58.0,49516.0,200.0,1992.0,10.0,150.0,1.3010447025299072,151.5004825592041,0.0,152.87218689918518,309.40387058258057,867.296875,,,,,,,,
low,6,49.0,48082.0,200.0,1987.0,10.0,150.0,1.216355562210083,186.726957321167,37.10253930091858,226.55231308937073,414.8546094894409,1084.0234375,,,,,,,,
low,7,53.0,49149.0,200.0,1978.0,10.0,150.0,1.2550702095031738,165.0653076171875,12.876101016998291,180.68276572227478,306.2691650390625,854.61328125,,,,,,,,
low,8,61.0,49974.0,200.0,1987.0,10.0,150.0,1.2780544757843018,198.1790108680725,39.60902738571167,240.5389003753662,437.2124242782593,1139.3671875,,,,,,,,
low,9,61.0,49294.0,200.0,1983.0,10.0,150.0,1.2859034538269043,121.07082033157349,0.0,122.42618942260742,309.6279754638672,846.69921875,,,,,,,,
low,10,58.0,48929.0,200.0,1982.0,10.0,150.0,1.279996395111084,193.74457144737244,39.180174112319946,235.68887543678284,424.79452419281006,1112.86328125,,,,,,,,
low,11,23.0,15759.0,200.0,1645.0,10.0,150.0,0.41327476501464844,35.120994091033936,2.2736642360687256,38.29990553855896,77.71505165100098,342.3359375,,,,,,,,
low,merge,,,,,,,,,,,,,,50.194763387553394,47.5735754724592,0.2628414649516344,2133.5430743368343,408.36328125,1155.19921875,10483.30078125
